iter	MAE	RMSE
611	0.1319763633	0.2748708869
612	0.1319719112	0.2748548038
613	0.1318688346	0.2747335189
614	0.1318516129	0.274680299
615	0.1318093096	0.2745979951
616	0.131806853	0.2745928207
617	0.1318068484	0.274588971
618	0.1317831892	0.2744962402
619	0.1317753791	0.2744783644
620	0.1317625054	0.2744390239
621	0.1316956954	0.2743305281
622	0.1316781473	0.2743067509
623	0.1316480493	0.2742360641
624	0.1316447342	0.2742280012
625	0.1316437163	0.2742237656
626	0.1316204863	0.2741775372
627	0.1316070206	0.2741364151
628	0.1315925277	0.2740923474
629	0.1315772111	0.2740696741
630	0.1315760378	0.2740668818
631	0.131448848	0.2739407838
632	0.1314452284	0.2739307634
633	0.131385056	0.273838009
634	0.1313237931	0.2737502345
635	0.1312868798	0.2736608574
636	0.1312692541	0.2735876649
637	0.1312686809	0.273585971
638	0.1311894426	0.2734489776
639	0.1311884266	0.2734440032
640	0.1311872387	0.273440402
641	0.1311868761	0.2734392225
642	0.1311641254	0.2733723854
643	0.1311362187	0.2733280776
644	0.1311352426	0.2733244688
645	0.1311299655	0.2733059938
646	0.131050569	0.2732335283
647	0.1310495505	0.2732306671
648	0.1310023182	0.2731395042
649	0.1309972229	0.2731273338
650	0.1309836038	0.2730824675
651	0.1309766406	0.273050384
652	0.1309306993	0.2729179959
653	0.1308489184	0.2728064807
654	0.1308112547	0.2727311542
655	0.1307869422	0.2727102509
656	0.1307817947	0.2726925824
657	0.1307813079	0.272691393
658	0.1307684143	0.2726491804
659	0.1307144542	0.2725056071
660	0.1306713436	0.2724179724
661	0.1306478349	0.2723882598
662	0.1306355579	0.2723469
663	0.1306349753	0.2723439847
664	0.1306200721	0.2723134643
665	0.1305935069	0.2722476254
666	0.1305929723	0.2722460876
667	0.1305320471	0.2721461379
668	0.1304273406	0.2720076359
669	0.1304062239	0.271910287
670	0.1304050611	0.2719069372
671	0.1303944787	0.2718953406
672	0.1303940297	0.2718942062
673	0.1303549123	0.2717872243
674	0.1303543393	0.2717849601
675	0.1303531934	0.2717817091
676	0.1303528403	0.2717806808
677	0.1303477362	0.2717634701
678	0.1302649875	0.2716799365
679	0.1302467065	0.271654423
680	0.1302418987	0.2716375852
681	0.1302201166	0.2715701897
682	0.1301762122	0.2714587165
683	0.1301090055	0.2713347624
684	0.1300460318	0.2712366837
685	0.1300242543	0.2711369508
686	0.129927287	0.270951846
687	0.1299247713	0.270939681
688	0.1299243693	0.2709386185
689	0.1299233826	0.2709369207
690	0.1298484708	0.2707996895
691	0.1298387832	0.2707464535
692	0.1296944482	0.2706408531
693	0.1296940566	0.2706398027
694	0.1296757359	0.2705725236
695	0.1296723943	0.2705599383
696	0.1296284524	0.2705382443
697	0.1295738839	0.2705063309
698	0.1295382405	0.2703843254
699	0.1295066249	0.2703036994
700	0.1294718853	0.2701859304
701	0.1294469316	0.2701070437
702	0.1294166026	0.2699740481
703	0.1293748984	0.2698972201
704	0.1293574785	0.2698706011
705	0.1293355243	0.2698490117
706	0.1292903621	0.2698010606
707	0.1292738439	0.2697654129
708	0.1292713746	0.2697538396
709	0.1292534613	0.2696756193
710	0.1291816524	0.2696404293
711	0.129125991	0.2694742906
712	0.1290929508	0.2693477085
713	0.1290655134	0.2692673476
714	0.128998431	0.2692199532
715	0.1289661101	0.2691305623
716	0.1289618781	0.2691142903
717	0.128943664	0.2690661198
718	0.1289261964	0.2689950064
719	0.1289167937	0.2689522785
720	0.1288465127	0.268822027
721	0.1287648528	0.2687323131
722	0.1287482481	0.268658096
723	0.1286979119	0.2685572143
724	0.12863829	0.2685243708
725	0.1286072935	0.2684601677
726	0.1285971163	0.2684366308
727	0.1285278448	0.2683211864
728	0.1285270159	0.268319084
729	0.1284817176	0.2682314463
730	0.1284079059	0.2681149036
731	0.1283692839	0.2679834499
732	0.1283034867	0.2678968232
733	0.1282736338	0.2678241839
734	0.1282591556	0.2677819526
735	0.1281968684	0.2676810415
736	0.1281831615	0.2676167758
737	0.1281489377	0.2675274214
738	0.1280984213	0.2673673377
739	0.1280959513	0.2673590451
740	0.1280642581	0.2672816483
741	0.1280611597	0.2672663095
742	0.1280324068	0.2671956134
743	0.1280302812	0.2671895224
744	0.1280253814	0.2671707245
745	0.1279933455	0.2670637823
746	0.1279064062	0.2669508222
747	0.1278783108	0.2668514828
748	0.1278397138	0.2668284651
749	0.1278020954	0.2667458389
750	0.1277993926	0.2667333499
751	0.1277707034	0.2667139062
